,DATA INICIAL,DATA FINAL,REGIÃO,ESTADO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
9452,2011-02-20,2011-02-26,NORDESTE,MARANHAO,ETANOL HIDRATADO,124,R$/l,2.053,0.108,1.7,2.39,0.221,0.053,1.832,0.097,1.5482,1.9711,0.053
9453,2011-02-20,2011-02-26,NORDESTE,PARAIBA,ETANOL HIDRATADO,120,R$/l,1.907,0.064,1.69,2.0,0.19,0.034,1.717,0.049,1.6379,1.8426,0.029
9454,2011-02-20,2011-02-26,NORDESTE,PERNAMBUCO,ETANOL HIDRATADO,334,R$/l,1.898,0.124,1.65,2.299,0.168,0.065,1.73,0.046,1.623,1.9047,0.027
9455,2011-02-20,2011-02-26,NORDESTE,PIAUI,ETANOL HIDRATADO,81,R$/l,2.115,0.084,1.88,2.28,0.181,0.04,1.934,0.09,1.7199,2.0449,0.047
9456,2011-02-20,2011-02-26,NORDESTE,RIO GRANDE DO NORTE,ETANOL HIDRATADO,114,R$/l,2.124,0.131,1.89,2.29,0.342,0.062,1.782,0.081,1.5404,1.9221,0.045
9457,2011-02-20,2011-02-26,NORDESTE,SERGIPE,ETANOL HIDRATADO,55,R$/l,1.967,0.064,1.7990000000000002,2.099,0.244,0.033,1.723,0.075,1.5676,1.8505,0.044
9458,2011-02-20,2011-02-26,NORTE,ACRE,ETANOL HIDRATADO,42,R$/l,2.39,0.15,2.3,2.79,0.322,0.063,2.068,0.111,1.6523,2.1187,0.054
9459,2011-02-20,2011-02-26,NORTE,AMAPA,ETANOL HIDRATADO,18,R$/l,2.234,0.0289999999999999,2.15,2.25,0.385,0.013,1.849,0.065,1.7518,1.8836,0.035
9460,2011-02-20,2011-02-26,NORTE,AMAZONAS,ETANOL HIDRATADO,78,R$/l,2.16,0.081,2.05,2.42,0.173,0.038,1.987,0.058,1.8684,2.1172,0.029
9461,2011-02-20,2011-02-26,NORTE,PARA,ETANOL HIDRATADO,102,R$/l,2.193,0.13,1.9,2.609,0.212,0.059,1.981,0.063,1.8776,2.1312,0.032
9462,2011-02-20,2011-02-26,NORTE,RONDONIA,ETANOL HIDRATADO,102,R$/l,2.114,0.08,2.05,2.25,0.378,0.038,1.736,0.076,1.6603,1.8713,0.044
9463,2011-02-20,2011-02-26,NORTE,RORAIMA,ETANOL HIDRATADO,17,R$/l,2.346,0.027,2.25,2.39,0.156,0.012,2.19,0.049,2.0927,2.2486,0.022
9464,2011-02-20,2011-02-26,NORTE,TOCANTINS,ETANOL HIDRATADO,59,R$/l,2.011,0.075,1.89,2.1,0.383,0.037,1.628,0.075,1.5046,1.6744,0.046
9465,2011-02-20,2011-02-26,SUDESTE,ESPIRITO SANTO,ETANOL HIDRATADO,191,R$/l,2.152,0.1369999999999999,1.75,2.39,0.245,0.064,1.907,0.075,1.586,2.0302,0.039
